,chembl_id,standardized_smiles,wd_consensus_1,wd_chembl,wd_withdrawn,wd_drugbank,atc_code,name
0,CHEMBL2111100,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCNC(=O)C(C)NC(=O)CCC(NC(=O)C(C)NC(=O)C(C)OC1C(O)C(CO)OC(O)C1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,0,0.0,None,0,None,MIFAMURTIDE
1,CHEMBL41355,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,0,0.0,None,0,N03AX21,EZOGABINE
2,CHEMBL409153,CC(c1nc(-c2ccc(C#N)cc2)cs1)C(O)(Cn1cncn1)c1cc(F)ccc1F,0,0.0,None,0,J02AC05,ISAVUCONAZOLE
3,CHEMBL4094358,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,0,None,None,0,None,CHEMBL4094358
4,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0,0.0,None,0,N06AB03,FLUOXETINE
5,CHEMBL4101807,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,0,0.0,None,0,None,VOXELOTOR
6,CHEMBL41286,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)O)cc1C2=O,0,0.0,None,0,M01AX21,DIACEREIN
7,CHEMBL413,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,0,0.0,None,0,"L04AA10, S01XA23",SIROLIMUS
8,CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,0,0.0,None,0,N06AA04,CLOMIPRAMINE
9,CHEMBL4073796,O=S(=O)(O)OC1C(O)COC(OC2COC(O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C1OS(=O)(=O)O,0,None,None,0,None,CHEMBL4073796
10,CHEMBL415606,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)NC(Cc1ccc(Cl)cc1)C(=O)NC(Cc1cccnc1)C(=O)NC(CO)C(=O)NC(Cc1ccc(NC(=O)C2CC(=O)NC(=O)N2)cc1)C(=O)NC(Cc1ccc(NC(N)=O)cc1)C(=O)NC(CC(C)C)C(=O)NC(CCCCNC(C)C)C(=O)N1CCCC1C(=O)NC(C)C(N)=O,0,0.0,None,0,L02BX02,DEGARELIX
11,CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,0,0.0,None,0,"D05AD02, D05BA02",METHOXSALEN
12,CHEMBL416146,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,0,0.0,None,0,M01AH05,ETORICOXIB
13,CHEMBL416956,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,0,0.0,None,0,P01BC02,MEFLOQUINE
14,CHEMBL417,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,0,0.0,None,0,L01DB03,EPIRUBICIN
15,CHEMBL4173394,CCOc1ccc(Nc2ccc(C(=C3C=CC(=[N+](CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)O)c4)cc3C)cc2)cc1,0,0.0,None,0,None,BRILLIANT BLUE G
16,CHEMBL408513,O=C(C=Cc1cccc(S(=O)(=O)Nc2ccccc2)c1)NO,0,0.0,None,0,L01XH04,BELINOSTAT
17,CHEMBL407,CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,0,0.0,None,0,V03AB25,FLUMAZENIL
18,CHEMBL420,NC(N)=NN=Cc1c(Cl)cccc1Cl,0,0.0,None,0,None,GUANABENZ
